Date,Close
2024-01-02 20:00:00,44801.96
2024-01-02 21:00:00,45128.54
2024-01-02 22:00:00,45000.74
2024-01-02 23:00:00,44972.8
2024-01-03 00:00:00,45156.5
2024-01-03 01:00:00,45341.12
2024-01-03 02:00:00,45299.77
2024-01-03 03:00:00,45286.95
2024-01-03 04:00:00,45203.08
2024-01-03 05:00:00,45184.54
2024-01-03 06:00:00,45344.02
2024-01-03 07:00:00,45027.43
2024-01-03 08:00:00,45219.26
2024-01-03 09:00:00,45358.71
2024-01-03 10:00:00,45163.58
2024-01-03 11:00:00,43737.06
2024-01-03 12:00:00,42815.1
2024-01-03 13:00:00,42568.41
2024-01-03 14:00:00,42206.31
2024-01-03 15:00:00,43017.35
2024-01-03 16:00:00,43025.7
2024-01-03 17:00:00,42931.89
2024-01-03 18:00:00,42263.16
2024-01-03 19:00:00,42613.07
2024-01-03 20:00:00,42739.95
2024-01-03 21:00:00,42943.2
2024-01-03 22:00:00,42764.33
2024-01-03 23:00:00,42862.44
2024-01-04 00:00:00,42899.27
2024-01-04 01:00:00,42736.8
2024-01-04 02:00:00,43168.23
2024-01-04 03:00:00,43138.05
2024-01-04 04:00:00,43187.16
2024-01-04 05:00:00,43218.7
2024-01-04 06:00:00,43193.14
2024-01-04 07:00:00,42795.01
2024-01-04 08:00:00,42880.65
2024-01-04 09:00:00,43048.96
2024-01-04 10:00:00,43121.14
2024-01-04 11:00:00,43226.07
2024-01-04 12:00:00,43430.62
2024-01-04 13:00:00,43391.03
2024-01-04 14:00:00,43713.68
2024-01-04 15:00:00,44095.63
2024-01-04 16:00:00,43966.02
2024-01-04 17:00:00,44052.54
2024-01-04 18:00:00,44100.66
2024-01-04 19:00:00,44006.83
2024-01-04 20:00:00,44163.05
2024-01-04 21:00:00,44489.99
2024-01-04 22:00:00,44368.33
2024-01-04 23:00:00,44193.29
2024-01-05 00:00:00,44268.78
2024-01-05 01:00:00,43440.98
2024-01-05 02:00:00,43552.12
2024-01-05 03:00:00,43511.08
2024-01-05 04:00:00,43627.22
2024-01-05 05:00:00,43675.01
2024-01-05 06:00:00,43880.41
2024-01-05 07:00:00,43810.31
2024-01-05 08:00:00,43953.39
2024-01-05 09:00:00,44179.74
2024-01-05 10:00:00,43657.49
2024-01-05 11:00:00,43808.86
2024-01-05 12:00:00,43917.82
2024-01-05 13:00:00,44026.64
2024-01-05 14:00:00,43517.5
2024-01-05 15:00:00,43525.45
2024-01-05 16:00:00,43256.79
2024-01-05 17:00:00,43642.56
2024-01-05 18:00:00,43643.66
2024-01-05 19:00:00,43623.3
2024-01-05 20:00:00,43985.82
2024-01-05 21:00:00,43974.15
2024-01-05 22:00:00,44009.61
2024-01-05 23:00:00,44186.59
2024-01-06 00:00:00,44108.38
2024-01-06 01:00:00,44013.3
2024-01-06 02:00:00,43946.91
2024-01-06 03:00:00,43973.32
2024-01-06 04:00:00,43891.9
2024-01-06 05:00:00,43739.15
2024-01-06 06:00:00,43496.42
2024-01-06 07:00:00,43696.57
2024-01-06 08:00:00,43736.14
2024-01-06 09:00:00,43685.66
2024-01-06 10:00:00,43725.13
2024-01-06 11:00:00,43705.54
2024-01-06 12:00:00,43645.2
2024-01-06 13:00:00,43733.91
2024-01-06 14:00:00,43859.42
2024-01-06 15:00:00,43901.64
2024-01-06 16:00:00,43901.82
2024-01-06 17:00:00,43998.26
2024-01-06 18:00:00,44028.64
2024-01-06 19:00:00,43939.48
2024-01-06 20:00:00,43857.88
2024-01-06 21:00:00,43919.4
2024-01-06 22:00:00,43907.26
2024-01-06 23:00:00,43992.44
2024-01-07 00:00:00,44147.42
2024-01-07 01:00:00,43996.3
2024-01-07 02:00:00,43962.7
2024-01-07 03:00:00,43970.54
2024-01-07 04:00:00,44025.32
2024-01-07 05:00:00,43912.15
2024-01-07 06:00:00,44052.32
2024-01-07 07:00:00,44114.27
2024-01-07 08:00:00,44046.42
2024-01-07 09:00:00,43964.01
2024-01-07 10:00:00,43988.31
2024-01-07 11:00:00,44092.19
2024-01-07 12:00:00,44121.29
2024-01-07 13:00:00,44425.07
2024-01-07 14:00:00,44432.69
