Date,Close
2024-01-16 20:00:00+00:00,43170.0
2024-01-16 21:00:00+00:00,43428.79
2024-01-16 22:00:00+00:00,43200.02
2024-01-16 23:00:00+00:00,43130.45
2024-01-17 00:00:00+00:00,43081.74
2024-01-17 01:00:00+00:00,42958.66
2024-01-17 02:00:00+00:00,42978.26
2024-01-17 03:00:00+00:00,42832.17
2024-01-17 04:00:00+00:00,42824.87
2024-01-17 05:00:00+00:00,42760.71
2024-01-17 06:00:00+00:00,42789.32
2024-01-17 07:00:00+00:00,42632.54
2024-01-17 08:00:00+00:00,42699.29
2024-01-17 09:00:00+00:00,42651.04
2024-01-17 10:00:00+00:00,42820.57
2024-01-17 11:00:00+00:00,42652.34
