,Date,Close
17864,2024-01-02 12:00:00,45339.3
17865,2024-01-02 13:00:00,45691.05
17866,2024-01-02 14:00:00,45300.8
17867,2024-01-02 15:00:00,45236.25
17868,2024-01-02 16:00:00,45395.48
17869,2024-01-02 17:00:00,44997.95
17870,2024-01-02 18:00:00,45172.54
17871,2024-01-02 19:00:00,45055.75
17872,2024-01-02 20:00:00,44801.96
17873,2024-01-02 21:00:00,45128.54
17874,2024-01-02 22:00:00,45000.74
17875,2024-01-02 23:00:00,44972.8
17876,2024-01-03 00:00:00,45156.5
17877,2024-01-03 01:00:00,45341.12
17878,2024-01-03 02:00:00,45299.77
17879,2024-01-03 03:00:00,45286.95
17880,2024-01-03 04:00:00,45203.08
17881,2024-01-03 05:00:00,45184.54
17882,2024-01-03 06:00:00,45344.02
17883,2024-01-03 07:00:00,45027.43
17884,2024-01-03 08:00:00,45219.26
17885,2024-01-03 09:00:00,45358.71
17886,2024-01-03 10:00:00,45163.58
17887,2024-01-03 11:00:00,43737.06
17888,2024-01-03 12:00:00,42815.1
17889,2024-01-03 13:00:00,42568.41
17890,2024-01-03 14:00:00,42206.31
17891,2024-01-03 15:00:00,43017.35
17892,2024-01-03 16:00:00,43025.7
17893,2024-01-03 17:00:00,42931.89
17894,2024-01-03 18:00:00,42263.16
17895,2024-01-03 19:00:00,42613.07
17896,2024-01-03 20:00:00,42739.95
17897,2024-01-03 21:00:00,42943.2
17898,2024-01-03 22:00:00,42764.33
17899,2024-01-03 23:00:00,42862.44
17900,2024-01-04 00:00:00,42899.27
17901,2024-01-04 01:00:00,42736.8
17902,2024-01-04 02:00:00,43168.23
17903,2024-01-04 03:00:00,43138.05
17904,2024-01-04 04:00:00,43187.16
17905,2024-01-04 05:00:00,43218.7
17906,2024-01-04 06:00:00,43193.14
17907,2024-01-04 07:00:00,42795.01
17908,2024-01-04 08:00:00,42880.65
17909,2024-01-04 09:00:00,43048.96
17910,2024-01-04 10:00:00,43121.14
17911,2024-01-04 11:00:00,43226.07
17912,2024-01-04 12:00:00,43430.62
17913,2024-01-04 13:00:00,43391.03
17914,2024-01-04 14:00:00,43713.68
17915,2024-01-04 15:00:00,44095.63
17916,2024-01-04 16:00:00,43966.02
17917,2024-01-04 17:00:00,44052.54
17918,2024-01-04 18:00:00,44100.66
17919,2024-01-04 19:00:00,44006.83
17920,2024-01-04 20:00:00,44163.05
17921,2024-01-04 21:00:00,44489.99
17922,2024-01-04 22:00:00,44368.33
17923,2024-01-04 23:00:00,44193.29
17924,2024-01-05 00:00:00,44268.78
17925,2024-01-05 01:00:00,43440.98
17926,2024-01-05 02:00:00,43552.12
17927,2024-01-05 03:00:00,43511.08
17928,2024-01-05 04:00:00,43627.22
17929,2024-01-05 05:00:00,43675.01
17930,2024-01-05 06:00:00,43880.41
17931,2024-01-05 07:00:00,43810.31
17932,2024-01-05 08:00:00,43953.39
17933,2024-01-05 09:00:00,44179.74
17934,2024-01-05 10:00:00,43657.49
17935,2024-01-05 11:00:00,43808.86
17936,2024-01-05 12:00:00,43917.82
17937,2024-01-05 13:00:00,44026.64
17938,2024-01-05 14:00:00,43517.5
17939,2024-01-05 15:00:00,43525.45
17940,2024-01-05 16:00:00,43256.79
17941,2024-01-05 17:00:00,43642.56
17942,2024-01-05 18:00:00,43643.66
17943,2024-01-05 19:00:00,43623.3
17944,2024-01-05 20:00:00,43985.82
17945,2024-01-05 21:00:00,43974.15
17946,2024-01-05 22:00:00,44009.61
17947,2024-01-05 23:00:00,44186.59
17948,2024-01-06 00:00:00,44108.38
17949,2024-01-06 01:00:00,44013.3
17950,2024-01-06 02:00:00,43946.91
17951,2024-01-06 03:00:00,43973.32
17952,2024-01-06 04:00:00,43891.9
17953,2024-01-06 05:00:00,43739.15
17954,2024-01-06 06:00:00,43496.42
17955,2024-01-06 07:00:00,43696.57
17956,2024-01-06 08:00:00,43736.14
17957,2024-01-06 09:00:00,43685.66
17958,2024-01-06 10:00:00,43725.13
17959,2024-01-06 11:00:00,43705.54
17960,2024-01-06 12:00:00,43645.2
17961,2024-01-06 13:00:00,43733.91
17962,2024-01-06 14:00:00,43859.42
17963,2024-01-06 15:00:00,43901.64
17964,2024-01-06 16:00:00,43901.82
17965,2024-01-06 17:00:00,43998.26
17966,2024-01-06 18:00:00,44028.64
17967,2024-01-06 19:00:00,43939.48
17968,2024-01-06 20:00:00,43857.88
